CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,68,122,28
2,Female,57,39,92
3,Male,24,137,54
4,Male,49,87,31
5,Male,65,64,89
6,Female,36,58,41
7,Male,23,43,37
8,Male,37,114,38
9,Male,44,31,51
10,Female,60,40,76
11,Male,54,144,37
12,Male,65,114,31
13,Male,24,25,62
14,Male,22,29,18
15,Female,28,52,90
16,Male,32,56,6
17,Female,20,123,9
18,Female,22,28,11
19,Female,40,57,95
20,Male,54,148,2
21,Female,26,54,29
22,Male,32,96,51
23,Female,20,24,69
24,Female,46,119,23
25,Female,23,105,7
26,Female,34,111,56
27,Female,43,95,77
28,Female,38,90,62
29,Female,25,60,74
30,Female,38,121,80
31,Male,28,24,15
32,Male,55,74,53
33,Female,25,97,43
34,Female,59,85,83
35,Female,41,19,85
36,Male,52,51,35
37,Female,31,104,79
38,Male,31,20,14
39,Male,27,127,93
40,Male,29,134,69
41,Male,55,87,49
42,Male,61,99,18
43,Female,63,17,51
44,Female,51,145,1
45,Female,58,120,27
46,Female,27,67,64
47,Female,34,95,60
48,Male,34,64,91
49,Female,20,131,89
50,Female,48,117,41
51,Male,68,57,21
52,Female,18,141,14
53,Male,29,145,20
54,Female,56,138,92
55,Male,21,56,85
56,Female,59,14,87
57,Female,30,33,11
58,Male,51,27,66
59,Male,59,93,84
60,Male,38,14,24
61,Male,39,39,89
62,Male,21,10,37
63,Male,35,95,86
64,Male,22,91,24
65,Male,36,78,15
66,Female,19,40,12
67,Female,29,100,95
68,Male,34,102,64
69,Female,27,136,31
70,Female,51,25,53
71,Female,23,63,94
72,Female,25,149,84
73,Male,68,29,72
74,Female,28,91,44
75,Male,29,118,30
76,Female,26,122,35
77,Female,19,26,21
78,Female,25,135,63
79,Male,28,12,92
80,Female,53,26,17
81,Male,27,59,12
82,Female,38,131,18
83,Male,37,99,92
84,Female,65,96,60
85,Male,25,15,67
86,Male,53,64,15
87,Female,46,111,16
88,Male,59,38,22
89,Female,29,120,95
90,Female,31,19,63
91,Female,65,100,31
92,Female,67,38,1
93,Female,38,54,75
94,Female,39,60,6
95,Female,38,110,87
96,Female,61,137,9
97,Female,67,20,52
98,Female,47,91,80
99,Female,56,137,62
100,Male,37,15,58
101,Male,41,76,19
102,Female,40,71,13
103,Female,24,142,32
